step,epoch,learningRate,trainLoss,valLoss,selectionScore,H_bias_Hz,H_MAE_Hz,V_rel_bias_pct,V_rel_MAE_pct
100,1,0.0002,0.538122641146183,0.405939625369178,0.546259660634389,-0.236335289066893,3.57600211815803,-1.57685420489732,16.8958413340755
200,2,0.0002,0.408083620369434,0.361528598599964,0.483038603298923,-0.302939958236297,3.12213121190936,-0.440710178097582,15.3474933305684
300,3,0.0002,0.382152825295925,0.353299296564526,0.507225244871536,-0.846530031330248,2.99926867245174,1.83926765432751,15.5775537788212
400,4,0.0002,0.370675112605095,0.343043880330192,0.451670257315091,-0.296692333686265,2.82797859874076,0.589921610922298,15.108817270209
500,5,0.0002,0.36340312063694,0.334195915195677,0.425918396031239,-0.180230932097716,2.69016426527268,-0.123073874908791,14.7275053524541
600,6,0.0002,0.358761547803879,0.338866468932894,0.462254238322681,-0.582281602718026,2.79988575049172,-1.66837613243508,14.4809702475432
700,7,0.0002,0.358856195509434,0.333575103018019,0.427737585933952,0.116643813547451,2.65078917837216,-2.74006546278767,14.3126150105425
800,8,0.0002,0.35830884128809,0.328955709934235,0.412570665755849,0.0247314400298979,2.62417082916485,0.434147730999053,14.6746272182874
900,9,0.0002,0.354925406575203,0.327255169550578,0.436737637593369,-0.559782144814646,2.61312246417854,-0.531789145255101,14.4777338208507
1000,10,0.0002,0.352004661560059,0.324469089508057,0.402269332571405,0.0367373348683,2.55058537076373,0.0412399037165028,14.5167729233034
1100,11,0.0002,0.351436702609062,0.324783659643597,0.436672728326792,-0.629009707882194,2.60322351962891,-0.395104605493257,14.2924367942325
1200,12,0.0002,0.347106698453426,0.32764388455285,0.447040808859159,-0.669631519260247,2.66886342820142,-0.82947848178616,14.2525497667073
1300,13,0.0002,0.345654574036598,0.323845158020655,0.40609505073504,0.0449357368790179,2.54548305820544,-1.23894858281741,14.3105215156458
1400,14,0.0002,0.345593913197517,0.322532220019235,0.416949147796218,-0.279233671898937,2.52496227615515,-1.57475285166917,14.261747232741
1500,15,0.0002,0.341618923544884,0.320002761152056,0.418944634897236,-0.422887313970272,2.52997879907207,-0.630518892858819,14.1649794827222
1600,16,0.0002,0.343486388623714,0.323246671093835,0.442931972572702,-0.66719534063965,2.58433113793753,1.14405715224423,14.5418805985745
1700,17,0.0002,0.342173151671886,0.318295114570194,0.412229739410995,-0.325327114943579,2.51122417528878,-0.924942723911763,14.0216252515379
1800,18,0.0002,0.342339378893375,0.317287156979243,0.396737435926321,-0.136591011181573,2.47133382826076,0.08376004279522,14.235570232719
1900,19,0.0002,0.342458412945271,0.318983435630798,0.422491114482249,-0.483689790754497,2.53053570055221,0.426254698286484,14.312178139787
2000,20,0.0002,0.339250218570232,0.316399855746163,0.404482177383339,-0.237421976802253,2.46457403574932,-1.08871513578554,14.0710099289367
2100,21,0.0001,0.337850158214569,0.315946042537689,0.409531248892283,-0.323576735391318,2.48419369968923,-1.14317312590264,13.921717652428
2200,22,0.0001,0.336924360990524,0.31564340988795,0.400518561805819,-0.151246056256883,2.47245547475926,-1.29590906771926,13.9231166178453
2300,23,0.0001,0.340397123098373,0.316215922435125,0.417334496381165,-0.468842550742423,2.50903539300969,-0.60909840507818,13.9943337517685
2400,24,0.0001,0.339909870326519,0.314997692902883,0.401668728436526,-0.203604659216592,2.48626168303547,-0.663714408162604,13.9543755131336
2500,25,0.0001,0.33990641862154,0.31499245762825,0.406329854427534,-0.266853916460087,2.47793296025767,-1.34560745494624,13.8465825304032
2600,26,0.0001,0.338414443433285,0.315841611888674,0.401099919040078,0.0950601911804274,2.45789205997232,-2.74554133471771,13.6829996810236
